"城市","小区名称","价格","地址","小区链接","物业类型","权属类别","竣工时间","产权年限","总户数","总建筑面积","容积率","绿化率","建筑类型","所属商圈","统一供暖","供水供电","停车位","物业费","停车费","车位管理费","物业公司","小区地址","开发商","在售房源","在租房源"
"安阳","京林中央公园","6681元/m²","2010年竣工文峰 - 中环百货 - 建安街","https://anyang.anjuke.com/community/view/678374","住宅","商品房住宅","2010年","70年","3户","暂无","暂无","暂无","高层","中环百货","否","民用","暂无","暂无","暂无","暂无","暂无","建安街","暂无","48 套","8 套"
"安阳","安彩嘉园二期","4981元/m²","1996年竣工文峰 - 华强城 - 弦歌大道","https://anyang.anjuke.com/community/view/678360","住宅","商品房住宅","1996年","70年","暂无","暂无","暂无","暂无","高层|超高层","华强城","否","民用","暂无","暂无","暂无","暂无","暂无","弦歌大道","暂无","105 套","28 套"
"安阳","金柏湾","6432元/m²","2010年竣工文峰 - 中环百货 - 文明大道","https://anyang.anjuke.com/community/view/678459","住宅","商品房住宅","2010年","70年","36户","暂无","1.20","暂无","小高层|高层","中环百货","否","民用","276(1:7.7)","暂无","暂无","暂无","暂无","文明大道","暂无","76 套","23 套"
"安阳","安钢御景园","4409元/m²","2018年竣工文峰 - 华强城 - 黄河南路","https://anyang.anjuke.com/community/view/678367","住宅","商品房住宅","2018年","70年","暂无","暂无","暂无","暂无","多层|小高层","华强城","否","民用","暂无","暂无","暂无","暂无","暂无","黄河南路","暂无","37 套","25 套"
"安阳","上城公馆","5791元/m²","2011年竣工文峰 - 中环百货 - 人民大道","https://anyang.anjuke.com/community/view/678525","住宅","商品房住宅","2011年","70年","5户","暂无","3.90","40.0%","高层","中环百货","否","民用","暂无","暂无","暂无","暂无","暂无","人民大道","暂无","26 套","12 套"
"安阳","华城国际","5245元/m²","2010年竣工文峰 - 中环百货 - 富泉街20号","https://anyang.anjuke.com/community/view/678362","住宅","商品房住宅","2010年","70年","7户","暂无","3.67","暂无","高层","中环百货","否","民用","276(1:39.4)","暂无","暂无","暂无","暂无","富泉街20号","暂无","48 套","34 套"
"安阳","唐韵美城","5769元/m²","2010年竣工文峰 - 中环百货 - 灯塔路","https://anyang.anjuke.com/community/view/678378","住宅","商品房住宅","2010年","70年","暂无","暂无","2.14","40.0%","高层","中环百货","否","民用","276","暂无","暂无","暂无","暂无","灯塔路","暂无","42 套","24 套"
"安阳","安阳万达华府","7148元/m²","2017年竣工文峰 - 万达广场 - 兴业路","https://anyang.anjuke.com/community/view/678413","住宅","商品房住宅","2017年","70年","1户","暂无","3.00","35.0%","高层|超高层","万达广场","否","民用","2598(1:2598.0)","暂无","暂无","暂无","深圳市盛世开元物业管理有限公司","兴业路","安阳万达广场投资有限公司","108 套","30 套"
"安阳","华强城桑堤亚纳(一期)","5848元/m²","2012年竣工文峰 - 华强城 - 弦歌大道468号","https://anyang.anjuke.com/community/view/678477","住宅","商品房住宅","2012年","70年","1户","暂无","2.50","暂无","高层|超高层","华强城","否","民用","暂无","暂无","暂无","暂无","暂无","弦歌大道468号","暂无","23 套","14 套"
"安阳","吉信御翠园","6692元/m²","2012年竣工龙安 - 钢城购物 - 文明大道259号","https://anyang.anjuke.com/community/view/678790","住宅","商品房住宅","2012年","70年","1户","暂无","2.00","暂无","多层|小高层|高层","钢城购物","否","民用","1800(1:1800.0)","暂无","暂无","暂无","暂无","文明大道259号","暂无","35 套","9 套"
